Data,Descrição,Valor,Pagamento,Categoria
03/04/2018,Restaurante de Churrasco,R$ 42,24,Débito,Restaurantes
03/05/2018,Starbucks,R$ 3,00,Débito,Cafés
03/05/2018,Cartão de Crédito,R$ 761,59,Crédito,Cartão de Crédito
03/05/2018,Cartão de Crédito,R$ 761,59,Débito,Cartão de Crédito
03/07/2018,Starbucks,R$ 3,50,Débito,Cafés
03/08/2018,Posto de Gasolina,R$ 34,90,Débito,Combustível
03/08/2018,Gas Company,R$ 52,00,Débito,Serviços Públicos
03/09/2018,Supermercado,R$ 20,72,Débito,Mercearia
03/09/2018,Supermercado,R$ 5,09,Débito,Mercearia
03/09/2018,Spotify,R$ 10,69,Débito,Música
03/12/2018,Supermercado,R$ 19,35,Débito,Mercearia
03/12/2018,Phone Company,R$ 89,52,Débito,Conta Telefonica
03/01/2019,Amazon,R$ 45,75,Débito,Compras
03/02/2019,Supermercado,R$ 22,50,Débito,Mercearia
03/02/2019,Restaurante de Brunch,R$ 8,49,Débito,Restaurantes
03/03/2019,Starbucks,R$ 3,50,Débito,Cafés
03/03/2019,Companhia de Energia,R$ 60,00,Débito,Serviços Públicos
03/04/2019,Salário Quinzenal,R$ 2.000,00,Crédito,Salário
03/05/2019,Cervejaria,R$ 19,50,Débito,Bares e Bebidas
03/05/2019,Pizzaria,R$ 23,34,Débito,Fast Food
03/07/2019,Restaurante Mediterrâneo,R$ 36,48,Débito,Restaurantes
03/07/2019,Conta de água,R$ 35,00,Débito,Serviços Públicos
03/08/2019,Amazon,R$ 14,97,Débito,Compras
03/10/2019,Posto de Gasolina,R$ 30,55,Débito,Combustível
03/11/2019,Cartão de Crédito,R$ 559,91,Crédito,Cartão de Crédito
03/11/2019,Cartão de Crédito,R$ 559,91,Débito,Cartão de Crédito
03/11/2019,Supermercado,R$ 11,76,Débito,Mercearia
03/02/2020,Provedor de Serviços de Internet,R$ 74,99,Débito,Internet
03/04/2020,Supermercado,R$ 16,06,Débito,Mercearia
03/04/2020,Pizzaria,R$ 24,98,Débito,Restaurantes
03/05/2020,Steakhouse,R$ 17,64,Débito,Restaurantes
03/06/2020,Supermercado,R$ 9,09,Débito,Mercearia
03/06/2020,Salário Quinzenal,R$ 2.000,00,Crédito,Salário
03/07/2020,Restaurante Belga,R$ 38,32,Débito,Restaurantes
03/07/2020,Chili's,R$ 24,74,Débito,Restaurantes
03/07/2020,Restaurante Grego,R$ 41,16,Débito,Restaurantes
04/01/2018,Supermercado,R$ 80,79,Débito,Mercearia
04/01/2018,Cervejaria,R$ 59,48,Débito,Restaurantes
04/01/2018,Amazon,R$ 13,13,Débito,Compras
04/02/2018,Cartão de Crédito,R$ 817,14,Crédito,Cartão de Crédito
04/02/2018,Cartão de Crédito,R$ 817,14,Débito,Cartão de Crédito
04/02/2018,Supermercado,R$ 82,36,Débito,Mercearia
04/02/2018,Loja de Ferragens,R$ 13,89,Débito,Melhorias em Casa
04/02/2018,Pagamento da IPTU,R$ 1.247,44,Débito,Hipoteca e Aluguel
04/03/2018,Amazon Video,R$ 6,41,Débito,Filmes e DVDs
04/04/2018,Cartão de Crédito,R$ 363,08,Crédito,Cartão de Crédito
04/04/2018,Cartão de Crédito,R$ 363,08,Débito,Cartão de Crédito
04/04/2018,Netflix,R$ 11,76,Débito,Filmes e DVDs
04/06/2018,Chevron,R$ 4,58,Débito,Combustível
04/06/2018,Tiny Deli,R$ 9,76,Débito,Restaurantes
04/08/2018,Irish Pub,R$ 22,00,Débito,Restaurantes
04/09/2018,Blue Sky Market,R$ 6,48,Débito,Mercearia
04/09/2018,Spotify,R$ 10,69,Débito,Música
04/09/2018,Gas Company,R$ 30,00,Débito,Serviços Públicos
04/11/2018,Phone Company,R$ 89,52,Débito,Conta Telefonica
04/12/2018,Starbucks,R$ 7,00,Débito,Cafés
04/12/2018,Barbershop,R$ 30,00,Débito,Corte de Cabelo
04/01/2019,Posto de Gasolina,R$ 37,98,Débito,Combustível
04/01/2019,Salário Quinzenal,R$ 2.000,00,Crédito,Salário
04/01/2019,American Tavern,R$ 10,66,Débito,Restaurantes
04/02/2019,Loja de Ferragens,R$ 11,61,Débito,Melhorias em Casa
04/02/2019,American Tavern,R$ 41,00,Débito,Restaurantes
04/04/2019,State Farm,R$ 75,00,Débito,Seguro Automóvel
04/04/2019,Conta de água,R$ 35,00,Débito,Serviços Públicos
04/06/2019,Companhia de Energia,R$ 60,00,Débito,Serviços Públicos
04/08/2019,Thai Restaurant,R$ 24,22,Débito,Restaurantes
04/09/2019,Supermercado,R$ 4,32,Débito,Mercearia
04/09/2019,American Tavern,R$ 35,15,Débito,Restaurantes
04/10/2019,Supermercado,R$ 21,32,Débito,Mercearia
04/11/2019,Loja de Ferragens,R$ 42,70,Débito,Melhorias em Casa
04/12/2019,Loja de Ferragens,R$ 224,70,Débito,Melhorias em Casa
04/12/2019,Amazon,R$ 41,34,Débito,Compras
04/01/2020,Loja de Ferragens,R$ 210,79,Débito,Melhorias em Casa
04/01/2020,Provedor de Serviços de Internet,R$ 74,99,Débito,Internet
04/02/2020,Cartão de Crédito,R$ 769,72,Crédito,Cartão de Crédito
04/02/2020,Cartão de Crédito,R$ 1.216,94,Crédito,Cartão de Crédito
04/02/2020,Cartão de Crédito,R$ 1.216,94,Débito,Cartão de Crédito
04/03/2020,Cartão de Crédito,R$ 769,72,Débito,Cartão de Crédito
04/03/2020,Salário Quinzenal,R$ 2.000,00,Crédito,Salário
04/04/2020,Supermercado,R$ 22,98,Débito,Mercearia
04/05/2020,QuikTrip,R$ 39,00,Débito,Combustível
04/05/2020,Supermercado,R$ 51,05,Débito,Mercearia
04/05/2020,Loja de Ferragens,R$ 68,47,Débito,Melhorias em Casa
04/06/2020,Supermercado,R$ 5,09,Débito,Mercearia
05/01/2018,Amazon,R$ 13,13,Débito,Compras
05/02/2018,Pagamento da IPTU,R$ 1.247,44,Débito,Hipoteca e Aluguel
05/03/2018,Amazon,R$ 49,72,Débito,Compras
05/04/2018,Supermercado,R$ 42,23,Débito,Mercearia
05/04/2018,Netflix,R$ 11,76,Débito,Filmes e DVDs
05/05/2018,Bojangles,R$ 7,27,Débito,Fast Food
05/05/2018,Pizzaria,R$ 20,52,Débito,Fast Food
05/06/2018,Loja de Ferragens,R$ 22,37,Débito,Melhorias em Casa
05/06/2018,Amazon,R$ 117,69,Débito,Compras
05/09/2018,Cartão de Crédito,R$ 601,40,Crédito,Cartão de Crédito
05/09/2018,Cartão de Crédito,R$ 601,40,Débito,Cartão de Crédito
05/09/2018,Spotify,R$ 10,69,Débito,Música
05/09/2018,Gas Company,R$ 30,00,Débito,Serviços Públicos
05/10/2018,Phone Company,R$ 111,18,Débito,Conta Telefonica
05/11/2018,Supermercado,R$ 57,32,Débito,Mercearia
05/11/2018,Salário Quinzenal,R$ 2.000,00,Crédito,Salário
05/11/2018,Mike's Construction Co.,R$ 8.000,00,Débito,Melhorias em Casa
05/12/2018,Liquor Store,R$ 27,77,Débito,Bares e Bebidas
05/12/2018,Shell,R$ 33,30,Débito,Combustível
05/12/2018,Fancy Restaurant,R$ 78,00,Débito,Restaurantes
05/02/2019,Supermercado,R$ 67,63,Débito,Mercearia
05/03/2019,Companhia de Energia,R$ 60,00,Débito,Serviços Públicos
05/05/2019,Barbershop,R$ 29,00,Débito,Corte de Cabelo
05/05/2019,Conta de água,R$ 35,00,Débito,Serviços Públicos
05/06/2019,State Farm,R$ 75,00,Débito,Seguro Automóvel
05/06/2019,Amazon,R$ 6,41,Débito,Compras
05/07/2019,Cartão de Crédito,R$ 207,08,Crédito,Cartão de Crédito
05/07/2019,Supermercado,R$ 31,00,Débito,Mercearia
05/07/2019,Restaurante Grego,R$ 23,26,Débito,Restaurantes
05/09/2019,Cartão de Crédito,R$ 283,07,Crédito,Cartão de Crédito
05/09/2019,Thai Restaurant,R$ 26,04,Débito,Restaurantes
05/09/2019,Amazon,R$ 32,50,Débito,Compras
05/10/2019,Cartão de Crédito,R$ 283,07,Débito,Cartão de Crédito
05/12/2019,Posto de Gasolina,R$ 39,44,Débito,Combustível
05/01/2020,Provedor de Serviços de Internet,R$ 74,99,Débito,Internet
05/01/2020,Salário Quinzenal,R$ 2.000,00,Crédito,Salário
05/04/2020,Movie Theater,R$ 9,62,Débito,Entretenimento
05/04/2020,Supermercado,R$ 91,03,Débito,Mercearia
05/05/2020,Movie Theater,R$ 20,00,Débito,Filmes e DVDs
05/05/2020,Movie Theater,R$ 6,25,Débito,Filmes e DVDs
06/01/2018,Posto de Gasolina,R$ 38,63,Débito,Combustível
06/01/2018,Supermercado,R$ 6,11,Débito,Mercearia
06/01/2018,Amazon,R$ 13,13,Débito,Compras
06/02/2018,Cartão de Crédito,R$ 235,18,Crédito,Cartão de Crédito
06/02/2018,Cartão de Crédito,R$ 466,36,Crédito,Cartão de Crédito
06/03/2018,Italian Restaurant,R$ 65,81,Débito,Restaurantes
06/04/2018,Cartão de Crédito,R$ 235,18,Débito,Cartão de Crédito
06/04/2018,Supermercado,R$ 24,12,Débito,Mercearia
06/04/2018,Pagamento da IPTU,R$ 1.247,44,Débito,Hipoteca e Aluguel
06/04/2018,Netflix,R$ 11,76,Débito,Filmes e DVDs
06/06/2018,Starbucks,R$ 4,00,Débito,Cafés
06/08/2018,Salário Quinzenal,R$ 2.000,00,Crédito,Salário
06/08/2018,Gas Company,R$ 30,00,Débito,Serviços Públicos
06/09/2018,Chick-Fil-A,R$ 16,18,Débito,Fast Food
06/09/2018,Supermercado,R$ 9,56,Débito,Mercearia
06/09/2018,Spotify,R$ 10,69,Débito,Música
06/10/2018,Supermercado,R$ 46,01,Débito,Mercearia
06/12/2018,Supermercado,R$ 12,55,Débito,Mercearia
06/12/2018,Phone Company,R$ 89,46,Débito,Conta Telefonica
06/02/2019,Cartão de Crédito,R$ 283,44,Crédito,Cartão de Crédito
06/02/2019,Cartão de Crédito,R$ 283,44,Débito,Cartão de Crédito
06/02/2019,Supermercado,R$ 7,02,Débito,Mercearia
06/03/2019,Companhia de Energia,R$ 60,00,Débito,Serviços Públicos
06/04/2019,Starbucks,R$ 3,00,Débito,Cafés
06/04/2019,Pizzaria,R$ 22,66,Débito,Fast Food
06/04/2019,Supermercado,R$ 13,90,Débito,Mercearia
06/06/2019,Conta de água,R$ 35,00,Débito,Serviços Públicos
06/07/2019,Shell,R$ 38,52,Débito,Combustível
06/07/2019,Supermercado,R$ 2,69,Débito,Mercearia
06/08/2019,State Farm,R$ 75,00,Débito,Seguro Automóvel
06/08/2019,Cartão de Crédito,R$ 89,45,Crédito,Cartão de Crédito
06/08/2019,Barbershop,R$ 30,00,Débito,Corte de Cabelo
06/09/2019,Cartão de Crédito,R$ 89,45,Débito,Cartão de Crédito
06/10/2019,Salário Quinzenal,R$ 2.000,00,Crédito,Salário
06/11/2019,Restaurante de Brunch,R$ 8,50,Débito,Restaurantes
06/11/2019,Amazon,R$ 74,97,Débito,Compras
06/01/2020,Cartão de Crédito,R$ 942,76,Crédito,Cartão de Crédito
06/01/2020,Cartão de Crédito,R$ 942,76,Débito,Cartão de Crédito
06/01/2020,Provedor de Serviços de Internet,R$ 74,99,Débito,Internet
06/02/2020,Supermercado,R$ 9,62,Débito,Mercearia
06/03/2020,Starbucks,R$ 3,50,Débito,Cafés
06/03/2020,Pizzaria,R$ 22,66,Débito,Fast Food
06/04/2020,Supermercado,R$ 7,57,Débito,Mercearia
07/01/2018,Amazon,R$ 13,13,Débito,Compras
07/02/2018,Pagamento da IPTU,R$ 1.247,44,Débito,Hipoteca e Aluguel
07/02/2018,Movie Theater,R$ 25,00,Débito,Filmes e DVDs
07/02/2018,American Tavern,R$ 36,44,Débito,Restaurantes
07/04/2018,Posto de Gasolina,R$ 34,48,Débito,Combustível
07/04/2018,Netflix,R$ 11,76,Débito,Filmes e DVDs
07/05/2018,Supermercado,R$ 44,25,Débito,Mercearia
07/05/2018,Amazon,R$ 212,32,Débito,Compras
07/06/2018,Amazon Video,R$ 6,41,Débito,Filmes e DVDs
07/06/2018,Salário Quinzenal,R$ 2.000,00,Crédito,Salário
07/08/2018,Cartão de Crédito,R$ 259,87,Crédito,Cartão de Crédito
07/09/2018,Cartão de Crédito,R$ 242,16,Crédito,Cartão de Crédito
07/09/2018,Cartão de Crédito,R$ 259,87,Débito,Cartão de Crédito
07/09/2018,Spotify,R$ 10,69,Débito,Música
07/10/2018,Cartão de Crédito,R$ 242,16,Débito,Cartão de Crédito
07/10/2018,Supermercado,R$ 5,39,Débito,Mercearia
07/10/2018,Gas Company,R$ 30,00,Débito,Serviços Públicos
07/11/2018,Phone Company,R$ 89,46,Débito,Conta Telefonica
07/02/2019,Go Mart,R$ 33,51,Débito,Combustível
07/03/2019,Circle K,R$ 36,24,Débito,Combustível
07/05/2019,Wendy's,R$ 15,23,Débito,Fast Food
07/05/2019,Conta de água,R$ 35,00,Débito,Serviços Públicos
07/05/2019,Companhia de Energia,R$ 60,00,Débito,Serviços Públicos
07/06/2019,Irish Restaurant,R$ 28,54,Débito,Bares e Bebidas
07/06/2019,State Farm,R$ 75,00,Débito,Seguro Automóvel
07/08/2019,Cartão de Crédito,R$ 61,43,Crédito,Cartão de Crédito
07/08/2019,Cartão de Crédito,R$ 102,88,Crédito,Cartão de Crédito
07/08/2019,Cartão de Crédito,R$ 102,88,Débito,Cartão de Crédito
07/08/2019,Salário Quinzenal,R$ 2.000,00,Crédito,Salário
07/09/2019,Supermercado,R$ 28,93,Débito,Mercearia
07/09/2019,Barbershop,R$ 30,00,Débito,Corte de Cabelo
07/11/2019,Cartão de Crédito,R$ 61,43,Débito,Cartão de Crédito
07/11/2019,Starbucks,R$ 9,58,Débito,Fast Food
07/12/2019,American Tavern,R$ 26,59,Débito,Restaurantes
07/01/2020,Provedor de Serviços de Internet,R$ 74,99,Débito,Internet
07/02/2020,Conoco,R$ 33,67,Débito,Combustível
07/04/2020,Supermercado,R$ 7,61,Débito,Mercearia
07/06/2020,American Tavern,R$ 34,38,Débito,Restaurantes
07/07/2020,Cervejaria,R$ 6,60,Débito,Bares e Bebidas
08/01/2018,Amazon,R$ 13,13,Débito,Compras
08/02/2018,Cartão de Crédito,R$ 816,27,Crédito,Cartão de Crédito
08/02/2018,Shell,R$ 40,44,Débito,Combustível
08/02/2018,Pagamento da IPTU,R$ 1.247,44,Débito,Hipoteca e Aluguel
08/03/2018,Supermercado,R$ 6,27,Débito,Mercearia
08/03/2018,Salário Quinzenal,R$ 2.000,00,Crédito,Salário
08/04/2018,Netflix,R$ 11,76,Débito,Filmes e DVDs
08/06/2018,Amazon,R$ 76,47,Débito,Compras
08/09/2018,Spotify,R$ 10,69,Débito,Música
08/09/2018,Gas Company,R$ 30,00,Débito,Serviços Públicos
08/10/2018,Phone Company,R$ 89,40,Débito,Conta Telefonica
08/11/2018,Chick-Fil-A,R$ 13,67,Débito,Fast Food
08/11/2018,Valero,R$ 33,66,Débito,Combustível
08/03/2019,Cartão de Crédito,R$ 269,56,Crédito,Cartão de Crédito
08/03/2019,Cartão de Crédito,R$ 159,38,Crédito,Cartão de Crédito
08/03/2019,Shell,R$ 41,07,Débito,Combustível
08/03/2019,Supermercado,R$ 5,64,Débito,Mercearia
08/03/2019,Companhia de Energia,R$ 60,00,Débito,Serviços Públicos
08/04/2019,Cartão de Crédito,R$ 269,56,Débito,Cartão de Crédito
08/04/2019,Conta de água,R$ 35,00,Débito,Serviços Públicos
08/05/2019,Salário Quinzenal,R$ 2.000,00,Crédito,Salário
08/05/2019,Amazon,R$ 14,98,Débito,Compras
08/06/2019,Amazon,R$ 23,47,Débito,Compras
08/08/2019,State Farm,R$ 75,00,Débito,Seguro Automóvel
08/09/2019,Cartão de Crédito,R$ 34,18,Crédito,Cartão de Crédito
08/09/2019,Cartão de Crédito,R$ 99,76,Crédito,Cartão de Crédito
08/09/2019,Cartão de Crédito,R$ 99,76,Débito,Cartão de Crédito
08/10/2019,Cartão de Crédito,R$ 34,18,Débito,Cartão de Crédito
08/12/2019,American Tavern,R$ 42,31,Débito,Restaurantes
08/03/2020,Provedor de Serviços de Internet,R$ 74,99,Débito,Internet
08/06/2020,Shell,R$ 35,65,Débito,Combustível
08/07/2020,Supermercado,R$ 11,64,Débito,Mercearia
08/07/2020,Salário Quinzenal,R$ 2.000,00,Crédito,Salário
09/01/2018,Cervejaria,R$ 47,40,Débito,Bares e Bebidas
09/01/2018,Amazon,R$ 13,13,Débito,Compras
09/02/2018,Amazon,R$ 109,83,Débito,Compras
09/04/2018,Cartão de Crédito,R$ 687,29,Crédito,Cartão de Crédito
09/04/2018,Cartão de Crédito,R$ 687,29,Débito,Cartão de Crédito
09/04/2018,Pagamento da IPTU,R$ 1.247,44,Débito,Hipoteca e Aluguel
09/04/2018,Netflix,R$ 11,76,Débito,Filmes e DVDs
09/07/2018,Gas Company,R$ 30,00,Débito,Serviços Públicos
09/09/2018,Cervejaria,R$ 18,00,Débito,Bares e Bebidas
09/09/2018,Spotify,R$ 10,69,Débito,Música
09/11/2018,Posto de Gasolina,R$ 38,86,Débito,Combustível
09/11/2018,Supermercado,R$ 7,87,Débito,Mercearia
09/12/2018,Supermercado,R$ 47,16,Débito,Mercearia
09/12/2018,Phone Company,R$ 89,40,Débito,Conta Telefonica
09/01/2019,Supermercado,R$ 5,64,Débito,Mercearia
09/02/2019,Cartão de Crédito,R$ 134,34,Crédito,Cartão de Crédito
09/02/2019,Salário Quinzenal,R$ 2.000,00,Crédito,Salário
09/05/2019,Supermercado,R$ 10,17,Débito,Mercearia
09/05/2019,Supermercado,R$ 8,80,Débito,Mercearia
09/05/2019,Conta de água,R$ 35,00,Débito,Serviços Públicos
09/06/2019,Supermercado,R$ 4,32,Débito,Mercearia
09/06/2019,Companhia de Energia,R$ 60,00,Débito,Serviços Públicos
09/07/2019,State Farm,R$ 75,00,Débito,Seguro Automóvel
09/07/2019,Barbershop,R$ 30,00,Débito,Corte de Cabelo
09/08/2019,Amazon,R$ 47,38,Débito,Compras
09/10/2019,Loja de Ferragens,R$ 69,40,Débito,Melhorias em Casa
09/10/2019,Loja de Ferragens,R$ 6,83,Débito,Melhorias em Casa
09/01/2020,Provedor de Serviços de Internet,R$ 74,99,Débito,Internet
09/01/2020,Sushi Restaurant,R$ 48,64,Débito,Restaurantes
09/02/2020,Starbucks,R$ 5,00,Débito,Cafés
09/02/2020,Exxon,R$ 38,00,Débito,Combustível
09/03/2020,Valero,R$ 40,71,Débito,Combustível
09/04/2020,Cartão de Crédito,R$ 128,12,Crédito,Cartão de Crédito
09/04/2020,Cartão de Crédito,R$ 284,96,Crédito,Cartão de Crédito
09/04/2020,Cartão de Crédito,R$ 284,96,Débito,Cartão de Crédito
09/04/2020,Supermercado,R$ 13,36,Débito,Mercearia
09/04/2020,Salário Quinzenal,R$ 2.000,00,Crédito,Salário
09/05/2020,Restaurante Grego,R$ 23,26,Débito,Restaurantes
09/05/2020,German Restaurant,R$ 46,70,Débito,Restaurantes
10/01/2018,Starbucks,R$ 3,00,Débito,Cafés
10/01/2018,Cartão de Crédito,R$ 128,12,Débito,Cartão de Crédito
10/01/2018,Supermercado,R$ 15,66,Débito,Mercearia
10/01/2018,Amazon,R$ 13,13,Débito,Compras
10/02/2018,Cartão de Crédito,R$ 124,03,Crédito,Cartão de Crédito
10/02/2018,Cartão de Crédito,R$ 124,03,Débito,Cartão de Crédito
10/02/2018,Pagamento da IPTU,R$ 1.209,18,Débito,Hipoteca e Aluguel
10/04/2018,Netflix,R$ 11,76,Débito,Filmes e DVDs
10/06/2018,American Tavern,R$ 27,00,Débito,Restaurantes
10/08/2018,Shell,R$ 38,06,Débito,Combustível
10/08/2018,Loja de Ferragens,R$ 80,65,Débito,Melhorias em Casa
10/08/2018,Loja de Ferragens,R$ 31,20,Débito,Melhorias em Casa
10/09/2018,Spotify,R$ 10,69,Débito,Música
10/09/2018,Amazon,R$ 19,98,Débito,Compras
10/09/2018,Gas Company,R$ 30,00,Débito,Serviços Públicos
10/10/2018,Supermercado,R$ 53,68,Débito,Mercearia
10/11/2018,Phone Company,R$ 89,40,Débito,Conta Telefonica
10/12/2018,Salário Quinzenal,R$ 2.000,00,Crédito,Salário
10/04/2019,Companhia de Energia,R$ 60,00,Débito,Serviços Públicos
10/05/2019,Conta de água,R$ 35,00,Débito,Serviços Públicos
10/06/2019,State Farm,R$ 75,00,Débito,Seguro Automóvel
10/06/2019,Supermercado,R$ 33,55,Débito,Mercearia
10/06/2019,Loja de Ferragens,R$ 45,24,Débito,Melhorias em Casa
10/06/2019,Restaurante de Brunch,R$ 8,00,Débito,Restaurantes
10/09/2019,Cartão de Crédito,R$ 544,37,Crédito,Cartão de Crédito
10/10/2019,Cartão de Crédito,R$ 353,83,Crédito,Cartão de Crédito
10/10/2019,Cartão de Crédito,R$ 353,83,Débito,Cartão de Crédito
10/10/2019,Posto de Gasolina,R$ 34,66,Débito,Combustível
10/11/2019,Supermercado,R$ 7,57,Débito,Mercearia
10/01/2020,Provedor de Serviços de Internet,R$ 74,99,Débito,Internet
10/01/2020,Amazon,R$ 29,98,Débito,Compras
10/02/2020,Salário Quinzenal,R$ 2.000,00,Crédito,Salário
10/03/2020,American Tavern,R$ 25,40,Débito,Restaurantes
10/04/2020,Cervejaria,R$ 12,71,Débito,Bares e Bebidas
10/04/2020,Seafood Restaurant,R$ 14,75,Débito,Food & Dining
10/04/2020,Supermercado,R$ 92,49,Débito,Mercearia
10/04/2020,Italian Restaurant,R$ 54,00,Débito,Restaurantes
10/07/2020,Supermercado,R$ 5,64,Débito,Mercearia
11/01/2018,Amazon,R$ 13,13,Débito,Compras
11/02/2018,Cartão de Crédito,R$ 262,51,Crédito,Cartão de Crédito
11/02/2018,Cartão de Crédito,R$ 262,51,Débito,Cartão de Crédito
11/02/2018,Pagamento da IPTU,R$ 1.209,18,Débito,Hipoteca e Aluguel
11/03/2018,Pizzaria,R$ 23,66,Débito,Fast Food
11/04/2018,Netflix,R$ 11,76,Débito,Filmes e DVDs
11/05/2018,Shell,R$ 36,51,Débito,Combustível
11/06/2018,Amazon,R$ 53,95,Débito,Compras
11/06/2018,Gas Company,R$ 30,00,Débito,Serviços Públicos
11/08/2018,Supermercado,R$ 5,64,Débito,Mercearia
11/09/2018,Spotify,R$ 10,69,Débito,Música
11/09/2018,Salário Quinzenal,R$ 2.000,00,Crédito,Salário
11/10/2018,Cervejaria,R$ 27,00,Débito,Bares e Bebidas
11/10/2018,Chick-Fil-A,R$ 14,19,Débito,Fast Food
11/10/2018,Food Truck,R$ 24,40,Débito,Mercearia
11/12/2018,Supermercado,R$ 10,18,Débito,Mercearia
11/12/2018,American Tavern,R$ 22,33,Débito,Restaurantes
11/01/2019,Supermercado,R$ 4,80,Débito,Mercearia
